answerID,used,category,manualRank,catID
mentalHealth-none,TRUE,Staff wellbeing,5,113
mentalHealth-access,TRUE,Staff safety,2,110
mentalHealth-timeoff,TRUE,Staff safety,2,110
mentalHealth-checkins,TRUE,Staff safety,2,110
mentalHealth-training,TRUE,Staff safety,2,110
mentalHealth-breaks,TRUE,Staff safety,2,110
mentalHealth-peer,TRUE,Staff safety,2,110
mentalHealth-none,TRUE,Staff safety,2,110
mentalHealth-access,TRUE,Leadership &amp; decision-making,3,155
mentalHealth-timeoff,TRUE,Leadership &amp; decision-making,3,155
mentalHealth-checkins,TRUE,Leadership &amp; decision-making,3,155
mentalHealth-training,TRUE,Leadership &amp; decision-making,3,155
mentalHealth-breaks,TRUE,Leadership &amp; decision-making,3,155
mentalHealth-peer,TRUE,Leadership &amp; decision-making,3,155
mentalHealth-none,TRUE,Leadership &amp; decision-making,3,155
colocated,TRUE,Co-located team,5,72
remote,TRUE,Fully remote,5,73
hybrid,TRUE,Hybrid,5,74
urban,TRUE,Urban,5,149
rural,TRUE,Rural,5,151
multilingual,TRUE,Multilingual audience,5,150
volunteer,TRUE,Volunteer-based,5,131
debriefReadiness-6,FALSE,,0,
debriefReadiness-5,FALSE,,0,
debriefReadiness-4,FALSE,,0,
debriefReadiness-3,FALSE,,0,
debriefReadiness-2,FALSE,,0,
debriefReadiness-1,FALSE,,0,
debriefReadiness-0,FALSE,,0,
recentImpacts-true,FALSE,,0,
recentImpacts-false,FALSE,,0,
