county_fips,state,county,AVLN_risk_score,CFLD_risk_score,CWAV_risk_score,DRGT_risk_score,ERQK_risk_score,HAIL_risk_score,HWAV_risk_score,HRCN_risk_score,ISTM_risk_score,LNDS_risk_score,LTNG_risk_score,IFLD_risk_score,SWND_risk_score,TRND_risk_score,TSUN_risk_score,VLCN_risk_score,WFIR_risk_score,WNTW_risk_score
35001,New Mexico,Bernalillo,21.052631578947366,,56.71119592875318,57.76081424936386,97.70992366412212,94.97455470737911,95.40783558124595,,65.71142952349217,43.00254452926209,97.36005089058524,96.27862595419847,78.97582697201018,56.10687022900763,,21.172638436482085,94.97455470737911,98.6950986632718
35003,New Mexico,Catron,51.315789473684205,,16.698473282442748,24.332061068702288,22.900763358778622,2.958015267175572,8.317276814386641,0.0,2.399200266577807,93.76590330788804,82.76081424936386,41.12595419847328,1.304071246819339,1.399491094147583,,37.78501628664496,96.34223918575063,34.85041374920433
35005,New Mexico,Chaves,2.923976608187134,,34.66921119592875,98.88676844783714,31.043256997455472,66.53944020356234,89.98073217726397,39.00709219858156,85.27157614128625,26.81297709923664,87.40458015267174,92.33460559796438,95.48346055979644,20.610687022900763,,54.72312703583062,92.4618320610687,93.22087842138765
35006,New Mexico,Cibola,24.41520467836257,,65.39440203562341,25.28625954198473,70.73791348600508,20.48346055979644,22.800256904303147,0.0,7.897367544151949,84.16030534351145,91.793893129771,73.44147582697201,6.902035623409669,9.033078880407125,,69.05537459283387,83.11068702290076,79.0897517504774
35007,New Mexico,Colfax,37.719298245614034,,26.463104325699742,39.75826972010178,35.55979643765903,40.17175572519084,18.946692357096985,,3.698767077640786,75.25445292620864,87.1819338422392,58.5559796437659,16.984732824427482,16.06234096692112,,0.0,97.51908396946563,85.8052196053469
35009,New Mexico,Curry,,,43.25699745547074,98.02798982188295,32.410941475826974,88.54961832061069,63.13423249839435,0.0,35.488170609796725,3.975826972010178,57.79262086513995,52.48091603053435,57.474554707379134,58.9058524173028,,18.89250814332248,95.706106870229,95.35327816677277
35011,New Mexico,De Baca,,,6.870229007633588,78.88040712468195,3.975826972010178,9.38295165394402,13.840719332048812,,3.165611462845718,9.033078880407125,6.393129770992366,11.482188295165397,5.693384223918575,3.880407124681934,,22.149837133550488,77.44910941475827,23.106301718650545
35013,New Mexico,Doña Ana,38.59649122807017,,81.96564885496184,99.39567430025443,91.22137404580153,96.08778625954199,94.60500963391137,36.54568210262829,64.7784071976008,40.83969465648856,97.29643765903309,98.37786259541984,58.01526717557252,20.51526717557252,,0.0,86.57760814249363,97.35837046467216
35015,New Mexico,Eddy,20.906432748538013,,55.08905852417303,85.24173027989822,26.017811704834603,74.20483460559795,78.80539499036608,24.739257405089692,84.77174275241586,18.00254452926209,78.7849872773537,90.68066157760816,83.17430025445293,27.32188295165394,,,88.51781170483459,95.32145130490134
35017,New Mexico,Grant,49.122807017543856,,3.625954198473282,38.45419847328244,50.445292620865146,26.526717557251914,58.285163776493256,7.926574885273258,16.494501832722424,70.92875318066157,79.35750636132317,83.68320610687023,3.816793893129771,6.933842239185751,,,96.94656488549616,82.46339910884785
35019,New Mexico,Guadalupe,1.169590643274854,,11.959287531806616,39.15394402035624,16.634860050890584,13.64503816793893,13.519588953114964,,6.39786737754082,28.56234096692112,22.010178117048344,29.866412213740457,4.389312977099237,4.834605597964376,,27.68729641693811,81.48854961832062,52.89624443029918
