county_fips,state,county,AVLN_risk_score,CFLD_risk_score,CWAV_risk_score,DRGT_risk_score,ERQK_risk_score,HAIL_risk_score,HWAV_risk_score,HRCN_risk_score,ISTM_risk_score,LNDS_risk_score,LTNG_risk_score,IFLD_risk_score,SWND_risk_score,TRND_risk_score,TSUN_risk_score,VLCN_risk_score,WFIR_risk_score,WNTW_risk_score
29001,Missouri,Adair,,,27.32188295165394,48.727735368956736,39.24936386768448,58.81043256997456,66.05651894669235,9.970796829370046,18.493835388203934,85.6234096692112,45.32442748091602,31.424936386768447,50.06361323155216,75.15903307888041,,,42.87531806615776,21.005728835136857
29003,Missouri,Andrew,,,48.69592875318066,71.81933842239185,15.648854961832065,52.639949109414765,50.09633911368015,0.0,36.054648450516495,72.20101781170483,21.819338422391855,24.650127226463106,33.9058524173028,65.48982188295165,,,50.159033078880405,27.530235518777847
29005,Missouri,Atchison,,,38.16793893129771,90.26717557251906,14.153944020356237,60.33715012722646,62.52408477842004,0.0,27.424191936021323,76.81297709923663,13.83587786259542,25.604325699745544,22.455470737913487,43.60687022900763,,,28.75318066157761,25.46148949713558
29007,Missouri,Audrain,,,64.34478371501272,76.33587786259542,77.19465648854961,66.15776081424937,85.54913294797689,23.153942428035045,50.483172275908025,42.17557251908397,59.06488549618321,55.27989821882952,56.77480916030534,55.75699745547074,,,41.82569974554708,65.08593252705283
29009,Missouri,Barry,,,72.01017811704835,71.88295165394402,70.35623409669212,64.8854961832061,83.07642903018626,46.43304130162703,93.16894368543821,74.07760814249363,74.30025445292621,79.42111959287533,85.71882951653944,85.01908396946563,,,67.55725190839695,76.83004455760663
29011,Missouri,Barton,,,48.536895674300254,92.77989821882952,51.908396946564885,52.608142493638674,62.04238921001927,28.744263662911973,82.6057980673109,34.096692111959285,18.6704834605598,45.92875318066159,71.31043256997455,64.50381679389314,,,10.178117048346056,49.522597071928715
29013,Missouri,Bates,,,53.05343511450383,60.14631043256997,44.529262086514,65.17175572519083,62.90944123314065,21.98581560283688,41.55281572809064,41.03053435114504,16.698473282442748,39.535623409669206,68.22519083969466,52.79898218829516,,,14.885496183206106,46.817313812858046
29015,Missouri,Benton,,,61.41857506361323,76.24045801526718,59.414758269720096,56.10687022900763,78.22736030828517,27.909887359199,79.90669776741086,68.44783715012723,81.07506361323155,67.36641221374046,97.99618320610686,74.6501272264631,,,69.46564885496184,67.75938892425208
29017,Missouri,Bollinger,,,39.726463104325695,39.599236641221374,77.98982188295165,22.264631043257,55.20231213872832,24.238631622861917,62.51249583472176,70.61068702290076,17.748091603053435,33.0470737913486,51.14503816793893,53.49872773536896,,,22.105597964376592,45.066836409929984
29019,Missouri,Boone,,,80.40712468193382,49.71374045801527,86.95928753180662,71.72391857506362,93.77007064868336,25.573633708802667,86.73775408197267,88.80407124681933,92.52544529262089,87.81806615776081,90.99872773536897,92.27099236641219,,,70.67430025445293,91.5340547422024
29021,Missouri,Buchanan,,,86.19592875318065,72.29643765903307,45.038167938931295,90.20356234096691,89.78805394990364,0.0,72.17594135288236,82.95165394402035,78.02162849872772,68.51145038167938,85.17811704834605,89.7264631043257,,,57.76081424936386,73.55187778485043
29023,Missouri,Butler,,,57.283715012722645,53.848600508905854,95.10178117048346,32.95165394402035,93.48105330764291,44.013350020859406,91.53615461512828,76.24045801526718,64.3765903307888,79.07124681933841,82.60178117048346,90.13994910941476,,,39.44020356234097,83.54551241247613
29025,Missouri,Caldwell,,,53.24427480916031,67.17557251908397,25.222646310432573,44.24300254452926,49.83943481053308,0.0,37.187604131956014,47.99618320610687,23.123409669211195,21.914758269720103,20.610687022900763,37.659033078880405,,,45.38804071246818,28.803309993634628
29027,Missouri,Callaway,,,68.8295165394402,57.3791348600509,75.89058524173028,71.53307888040712,91.55427103403984,19.232373800584064,71.34288570476508,91.53944020356232,71.85114503816794,68.35241730279897,62.43638676844784,61.641221374045806,,,66.18956743002545,73.90197326543601
29029,Missouri,Camden,,,78.5941475826972,31.55216284987277,79.23027989821881,77.57633587786259,91.93962748876045,41.21818940342094,95.46817727424192,96.43765903307887,73.1234096692112,93.25699745547074,57.98346055979644,83.93765903307887,,,81.8384223918575,91.40674729471672
29031,Missouri,Cape Girardeau,,,78.43511450381678,61.00508905852418,96.56488549618322,73.25063613231552,92.32498394348106,38.25615352523988,94.26857714095298,82.60178117048346,61.35496183206107,78.05343511450383,75.31806615776081,77.63994910941476,,,32.69720101781171,91.66136218968809
29033,Missouri,Carroll,,,53.46692111959288,81.61577608142494,36.48218829516539,33.396946564885496,53.75722543352601,0.0,28.757080973009,52.41730279898219,27.162849872773535,45.38804071246818,19.81552162849873,56.8384223918575,,,43.86132315521628,35.35964353914704
29035,Missouri,Carter,,,79.23027989821881,16.762086513994912,82.18829516539438,9.891857506361324,64.99678869621066,30.91364205256571,72.24258580473175,78.7849872773537,59.764631043257,60.59160305343512,62.75445292620865,40.108142493638674,,,47.45547073791349,41.85232336091661
29037,Missouri,Cass,,,84.4147582697201,49.93638676844784,54.35750636132316,92.90712468193384,88.92100192678225,17.77221526908636,74.30856381206264,51.55852417302798,64.63104325699746,70.54707379134861,91.2531806615776,89.85368956743001,,,29.4529262086514,81.09484404837683
29039,Missouri,Cedar,,,48.56870229007634,59.47837150127226,43.670483460559794,47.77353689567431,67.50160565189465,21.61034626616604,75.74141952682439,21.087786259541986,35.68702290076336,24.745547073791354,64.02671755725191,63.295165394402034,,,49.395674300254456,45.67154678548695
29041,Missouri,Chariton,,,38.708651399491096,73.02798982188294,42.04834605597965,51.01781170483461,63.070006422607584,21.3183145598665,29.490169943352218,68.25699745547074,37.88167938931298,44.14758269720102,15.807888040712466,50.63613231552162,,,48.18702290076336,39.2106938255888
29043,Missouri,Christian,,,44.62468193384224,38.16793893129771,70.96055979643766,66.34860050890585,88.95311496467566,31.37254901960784,93.83538820393201,72.23282442748089,72.13740458015268,70.0381679389313,77.7671755725191,80.75699745547075,,,70.3880407124682,75.46148949713557
29045,Missouri,Clark,,,22.7735368956743,62.62722646310432,32.82442748091603,54.007633587786266,83.30122029543993,14.184397163120568,17.760746417860712,64.69465648854961,44.72010178117048,30.50254452926209,55.21628498727736,25.604325699745544,,,47.36005089058524,17.69573520050923
29047,Missouri,Clay,,,97.70992366412212,43.47964376590331,63.70865139949109,97.36005089058524,96.72447013487475,0.0,81.7727424191936,76.01781170483459,75.92239185750638,87.75445292620864,58.81043256997456,96.18320610687024,,,69.11577608142494,78.67600254614895
29049,Missouri,Clinton,,,69.49745547073792,68.00254452926208,34.57379134860051,81.1704834605598,62.42774566473989,0.0,49.35021659446851,53.37150127226463,26.78117048346056,65.55343511450383,49.65012722646311,72.36005089058524,,,66.2531806615776,33.41820496499045
29051,Missouri,Cole,,,56.329516539440206,39.31297709923664,82.31552162849873,48.25063613231552,94.28387925497752,17.855652899457656,90.73642119293568,78.4033078880407,73.72773536895673,73.47328244274809,76.94020356234098,84.31933842239185,,,71.72391857506362,80.29917250159134
29053,Missouri,Cooper,,,42.08015267175573,64.53562340966921,47.80534351145038,12.849872773536896,67.88696210661529,12.473925740508967,40.58647117627457,37.75445292620866,20.51526717557252,29.898218829516537,20.833333333333336,50.76335877862596,,,40.36259541984733,33.57733927434755
29055,Missouri,Crawford,,,85.24173027989822,25.89058524173028,78.88040712468195,50.95419847328244,87.15478484264611,30.246141009595327,81.63945351549484,74.20483460559795,39.02671755725192,47.58269720101781,61.54580152671756,52.894402035623415,,,53.5941475826972,55.76066199872693
29057,Missouri,Dade,,,46.215012722646314,75.3498727735369,41.57124681933841,46.18320610687023,64.51509312780989,22.486441385064666,76.47450849716763,17.84351145038168,22.32824427480916,27.70356234096692,54.898218829516544,45.70610687022901,,,38.10432569974554,42.329726288987914
29059,Missouri,Dallas,,,35.49618320610687,60.36895674300254,59.096692111959285,43.12977099236641,71.51573538856776,16.020025031289112,97.5341552815728,38.96310432569975,83.58778625954199,37.94529262086514,53.68956743002544,60.36895674300254,,,73.53689567430025,55.7288351368555
29061,Missouri,Daviess,,,51.52671755725192,84.82824427480915,23.02798982188295,58.301526717557245,67.08413615928067,0.0,22.39253582139287,65.96692111959288,29.103053435114507,36.19592875318066,35.43256997455471,56.64758269720102,,,51.7175572519084,26.225334182049647
29063,Missouri,DeKalb,,,42.01653944020356,68.76590330788804,23.50508905852417,49.52290076335878,43.38471419396275,0.0,29.023658780406528,47.964376590330794,13.295165394402035,20.960559796437657,28.56234096692112,56.36132315521628,,,46.37404580152672,20.65563335455124
29065,Missouri,Dent,,,92.49363867684478,29.07124681933842,78.21246819338423,14.090330788804073,78.96596017983302,27.951606174384647,70.14328557147617,58.460559796437664,35.20992366412214,32.69720101781171,38.89949109414758,44.94274809160305,,,60.01908396946565,49.013367281986
29067,Missouri,Douglas,,,46.34223918575064,26.399491094147585,63.358778625954194,18.00254452926209,71.57996146435453,27.15894868585732,80.93968677107628,75.98600508905852,32.91984732824427,27.035623409669213,60.81424936386769,46.08778625954199,,,58.68320610687023,37.11012094207511
29069,Missouri,Dunklin,,,49.58651399491095,94.24300254452926,96.43765903307887,13.740458015267176,89.62748876043673,46.51647893199833,95.00166611129625,29.42111959287532,63.51781170483461,42.71628498727736,57.538167938931295,73.69592875318065,,,7.760814249363868,81.31763208147677
29071,Missouri,Franklin,,,75.28625954198473,30.12086513994911,89.85368956743001,88.70865139949109,93.73795761078995,18.272841051314145,78.94035321559481,88.10432569974553,68.38422391857506,85.43256997455471,93.89312977099235,86.54580152671755,,,66.69847328244275,68.01400381922342
29073,Missouri,Gasconade,,,49.363867684478365,35.49618320610687,62.722646310432566,43.320610687022906,79.44765574823377,15.894868585732166,57.31422859046984,64.94910941475827,22.932569974554703,46.11959287531807,28.72137404580153,35.17811704834606,,,34.28753180661578,40.165499681731376
29075,Missouri,Gentry,,,46.4058524173028,88.61323155216284,17.270992366412212,62.56361323155216,82.30571612074502,0.0,24.358547150949683,60.20992366412214,18.03435114503817,27.13104325699745,26.74936386768448,53.81679389312977,,,51.87659033078881,23.13812858052196
29077,Missouri,Greene,,,78.72137404580153,44.43384223918575,92.90712468193384,93.16157760814248,98.1053307642903,41.30162703379224,99.50016661112963,54.35750636132316,95.26081424936386,88.80407124681933,87.08651399491094,94.87913486005088,,,72.42366412213741,97.19923615531508
29079,Missouri,Grundy,,,49.33206106870229,84.95547073791347,30.66157760814249,47.67811704834607,61.78548490687219,14.476428869420108,17.994001999333555,61.927480916030525,33.33333333333333,30.248091603053435,28.88040712468193,64.69465648854961,,,46.787531806615775,27.148313176320816
29081,Missouri,Harrison,,,52.894402035623415,90.64885496183203,25.699745547073796,55.88422391857505,66.6024405908799,11.180642469753858,18.89370209930023,74.45928753180662,20.833333333333336,28.053435114503817,44.46564885496184,58.14249363867684,,,60.05089058524173,32.87714831317632
29083,Missouri,Henry,,,59.796437659033074,78.68956743002543,58.87404580152672,69.529262086514,70.32755298651252,27.659574468085108,79.57347550816395,55.56615776081425,57.538167938931295,61.1323155216285,72.20101781170483,62.404580152671755,,,43.54325699745547,63.20814767663908
29085,Missouri,Hickory,,,38.32697201017812,52.67175572519084,42.93893129770993,43.097964376590326,56.96852922286448,19.566124322069253,83.53882039320227,42.01653944020356,34.86005089058524,32.410941475826974,55.37531806615776,46.533078880407125,,,69.37022900763358,48.94971355824316
29087,Missouri,Holt,,,27.544529262086517,86.48218829516541,16.730279898218832,49.04580152671756,51.83044315992292,0.0,34.95501499500166,72.77353689567428,11.450381679389311,21.660305343511453,18.19338422391857,40.80788804071247,,,32.79262086513995,15.213239974538512
29089,Missouri,Howard,,,35.6234096692112,55.788804071246815,40.71246819338422,14.28117048346056,61.94605009633912,10.095953274926991,34.28857047650783,84.47837150127225,23.886768447837152,23.21882951653944,15.839694656488549,44.62468193384224,,,31.870229007633593,28.930617441120305
29091,Missouri,Howell,,,77.92620865139949,32.69720101781171,91.06234096692113,31.806615776081426,87.02633269107258,41.67709637046308,93.80206597800733,67.6208651399491,77.09923664122137,79.6119592875318,72.23282442748089,76.62213740458014,,,75.44529262086513,84.81858688733291
