county_fips,state,county,AVLN_risk_score,CFLD_risk_score,CWAV_risk_score,DRGT_risk_score,ERQK_risk_score,HAIL_risk_score,HWAV_risk_score,HRCN_risk_score,ISTM_risk_score,LNDS_risk_score,LTNG_risk_score,IFLD_risk_score,SWND_risk_score,TRND_risk_score,TSUN_risk_score,VLCN_risk_score,WFIR_risk_score,WNTW_risk_score
37001,North Carolina,Alamance,,,50.50890585241731,48.88676844783714,72.93256997455471,77.63994910941476,73.79576107899808,81.85231539424282,84.00533155614795,29.675572519083968,82.28371501272265,83.90585241730278,56.07506361323156,82.28371501272265,,,30.947837150127228,88.16040738383195
37003,North Carolina,Alexander,,,47.23282442748092,52.83078880407125,59.06488549618321,42.239185750636125,28.06679511881824,67.83479349186483,87.63745418193936,56.77480916030534,56.61577608142495,60.33715012722646,56.55216284987278,53.27608142493639,,,28.148854961832058,26.766390833863777
37005,North Carolina,Alleghany,,,77.735368956743,83.14249363867685,43.765903307888046,17.8117048346056,0.0,59.0738423028786,80.4731756081306,90.235368956743,39.12213740458015,41.06234096692112,24.300254452926207,27.48091603053436,,,45.76972010178117,19.255251432208784
37007,North Carolina,Anson,,,45.19720101781171,50.92239185750637,64.79007633587787,36.25954198473281,48.07321772639692,82.85356695869838,75.54148617127622,34.19211195928753,40.99872773536896,51.27226463104325,72.264631043257,71.94656488549617,,,58.460559796437664,31.253978357733924
37009,North Carolina,Ashe,,,82.6972010178117,71.27862595419847,52.83078880407125,32.474554707379134,0.0,63.49603671255737,69.01032989003666,93.47964376590328,53.53053435114504,76.78117048346054,82.22010178117048,39.82188295165393,,,47.86895674300254,47.040101845957984
37011,North Carolina,Avery,,,62.21374045801527,0.0,51.49491094147582,27.60814249363868,0.0,61.49353358364622,72.30923025658113,96.94656488549616,72.6145038167939,64.44020356234097,39.50381679389313,38.581424936386775,,,34.31933842239186,31.63590070019096
37013,North Carolina,Beaufort,,82.2,36.164122137404576,48.15521628498728,48.1234096692112,39.98091603053435,70.84136159280668,97.45515227367542,55.4481839386871,29.039440203562336,72.36005089058524,58.301526717557245,66.38040712468194,74.58651399491094,,,66.31679389312977,94.52577975811585
37015,North Carolina,Bertie,,43.8,32.88804071246819,79.54834605597965,46.27862595419848,49.80916030534351,60.27617212588312,93.3249895702962,34.45518160613129,18.988549618320608,41.50763358778626,46.37404580152672,37.05470737913486,62.05470737913485,,,36.1323155216285,77.46658179503501
37017,North Carolina,Bladen,,18.6,49.93638676844784,51.65394402035624,70.06997455470739,54.898218829516544,65.60693641618496,96.4121818940342,71.54281906031324,28.53053435114504,61.19592875318066,65.7442748091603,96.72391857506362,78.14885496183206,,,84.63740458015268,77.27562062380649
37019,North Carolina,Brunswick,,89.4,67.55725190839695,28.75318066157761,82.6972010178117,24.491094147582697,84.9389852280026,99.0821860659157,83.90536487837387,30.947837150127228,92.36641221374046,87.62722646310432,72.67811704834605,86.99109414758269,,,93.35241730279895,92.8389560789306
37021,North Carolina,Buncombe,,,97.16921119592875,65.20356234096693,85.40076335877862,75.22264631043257,2.18368657675016,68.62745098039215,94.20193268910364,98.91857506361325,96.56488549618322,91.7302798982188,92.55725190839696,81.32951653944019,,,80.62977099236642,77.08465945257798
37023,North Carolina,Burke,,,55.852417302798976,62.02290076335878,72.29643765903307,61.4503816793893,65.25369299935774,67.41760534000835,90.80306564478512,79.73918575063614,86.92748091603053,79.32569974554707,48.727735368956736,75.22264631043257,,,46.97837150127226,36.314449395289614
37025,North Carolina,Cabarrus,,,66.18956743002545,48.21882951653944,77.60814249363868,57.029262086514,68.24020552344253,73.92574050896955,96.33455514828393,52.32188295165393,82.82442748091603,92.17557251908396,74.80916030534351,89.09033078880407,,,50.60432569974554,72.8516868236792
