county_fips,state,county,AVLN_risk_score,CFLD_risk_score,CWAV_risk_score,DRGT_risk_score,ERQK_risk_score,HAIL_risk_score,HWAV_risk_score,HRCN_risk_score,ISTM_risk_score,LNDS_risk_score,LTNG_risk_score,IFLD_risk_score,SWND_risk_score,TRND_risk_score,TSUN_risk_score,VLCN_risk_score,WFIR_risk_score,WNTW_risk_score
20001,Kansas,Allen,,,30.852417302798983,55.91603053435114,28.848600508905854,43.98854961832061,54.399486191393706,16.77096370463079,57.61412862379207,14.440203562340969,48.7913486005089,26.33587786259542,45.45165394402035,35.273536895674305,,,22.36005089058524,58.14767663908339
20003,Kansas,Anderson,,,39.535623409669206,76.01781170483459,23.56870229007633,56.07506361323156,53.17919075144509,0.0,70.77640786404532,41.82569974554708,59.66921119592875,19.1793893129771,56.6793893129771,40.71246819338422,,,37.15012722646311,65.81795035009547
20005,Kansas,Atchison,,,23.85496183206107,60.49618320610687,25.508905852417303,62.404580152671755,52.56904303147078,0.0,61.279573475508165,60.62340966921119,34.79643765903308,21.72391857506361,37.53180661577608,49.459287531806616,,,72.74173027989822,49.45894334818586
20007,Kansas,Barber,,,84.73282442748089,92.93893129770991,17.302798982188293,73.15521628498726,23.603082851637765,18.940342094284524,52.615794735088315,16.984732824427482,14.376590330788805,10.559796437659031,31.202290076335878,43.38422391857507,,,92.27099236641219,7.956715467854869
20009,Kansas,Barton,,,66.79389312977099,47.90076335877863,36.25954198473281,96.31043256997457,68.0796403339756,0.0,89.13695434855046,7.792620865139948,47.51908396946565,42.74809160305343,90.61704834605598,86.64122137404581,,,74.07760814249363,86.88733290897518
20011,Kansas,Bourbon,,,46.56488549618321,76.59033078880407,42.77989821882952,88.74045801526718,63.68015414258189,23.69628702544848,74.54181939353549,44.17938931297709,47.4236641221374,40.108142493638674,59.605597964376585,43.70229007633588,,,44.847328244274806,72.37428389560787
20013,Kansas,Brown,,,20.928753180661577,73.79134860050891,22.169211195928757,60.65521628498728,56.39049454078355,0.0,54.34855048317228,43.19338422391857,21.087786259541986,17.65267175572519,27.385496183206108,54.96183206106871,,,71.4058524173028,26.511775938892423
20015,Kansas,Butler,,,74.49109414758269,55.27989821882952,37.53180661577608,89.09033078880407,83.975594091201,29.78723404255319,83.27224258580473,39.24936386768448,64.98091603053436,67.74809160305344,84.89185750636133,90.17175572519085,,,95.64249363867685,92.9662635264163
20017,Kansas,Chase,,,10.623409669211195,37.5,9.38295165394402,57.665394402035616,22.029543994861918,0.0,56.647784071976005,57.50636132315522,34.987277353689564,20.32442748091603,28.94402035623409,30.69338422391857,,,80.37531806615776,35.26416295353278
20019,Kansas,Chautauqua,,,26.685750636132315,43.98854961832061,18.988549618320608,36.704834605597966,32.40205523442518,16.228619107217355,54.181939353548806,66.53944020356234,7.37913486005089,11.768447837150129,27.035623409669213,44.30661577608143,,,90.9033078880407,30.744748567791213
