county_fips,state,county,AVLN_risk_score,CFLD_risk_score,CWAV_risk_score,DRGT_risk_score,ERQK_risk_score,HAIL_risk_score,HWAV_risk_score,HRCN_risk_score,ISTM_risk_score,LNDS_risk_score,LTNG_risk_score,IFLD_risk_score,SWND_risk_score,TRND_risk_score,TSUN_risk_score,VLCN_risk_score,WFIR_risk_score,WNTW_risk_score
28001,Mississippi,Adams,,,56.07506361323156,47.99618320610687,47.16921119592875,71.31043256997455,84.81053307642902,75.21902377972465,64.11196267910697,72.36005089058524,49.8409669211196,59.03307888040712,61.164122137404576,82.12468193384224,,,41.0941475826972,15.499681731381283
28003,Mississippi,Alcorn,,,81.1704834605598,45.22900763358778,89.7582697201018,31.29770992366413,74.85549132947978,57.571964956195245,37.42085971342885,64.75826972010178,61.991094147582686,51.62213740458015,43.25699745547074,87.53180661577609,,,44.27480916030535,16.677275620623806
28005,Mississippi,Amite,,,40.5852417302799,49.96819338422392,34.033078880407125,58.65139949109415,61.33590237636481,86.27450980392157,51.41619460179941,44.59287531806616,50.38167938931297,46.31043256997455,41.157760814249365,67.14376590330788,,,61.164122137404576,8.497772119669001
28007,Mississippi,Attala,,,53.21246819338422,60.75063613231551,70.00636132315522,69.21119592875317,60.59730250481695,68.29370045890697,52.11596134621793,62.659033078880405,48.09160305343512,27.894402035623408,59.63740458015268,73.02798982188294,,,47.48727735368957,38.319541693189045
28009,Mississippi,Benton,,,39.98091603053435,39.3765903307888,78.43511450381678,12.46819338422392,49.13294797687861,37.38005840634126,15.861379540153282,69.78371501272265,29.262086513994912,14.249363867684478,14.53562340966921,54.898218829516544,,,50.38167938931297,5.251432208784214
28011,Mississippi,Bolivar,,,56.64758269720102,89.0267175572519,92.17557251908396,68.60687022900763,84.0398201669878,66.37463496036713,78.07397534155281,34.82824427480916,54.93002544529262,76.8765903307888,64.2175572519084,82.91984732824427,,,17.938931297709924,26.25716104392107
28013,Mississippi,Calhoun,,,52.83078880407125,75.85877862595417,76.78117048346054,47.0737913486005,66.76300578034682,63.579474342928656,39.786737754081976,54.67557251908397,47.9643765903308,25.34987277353689,31.07506361323156,49.363867684478365,,,26.3676844783715,7.606619987269256
28015,Mississippi,Carroll,,,41.25318066157761,68.1615776081425,61.67302798982188,64.50381679389314,51.60565189466924,58.65665415102212,42.01932689103632,73.53689567430025,39.94910941475826,20.3880407124682,83.07888040712467,47.32824427480916,,,47.13740458015266,4.392106938255888
28017,Mississippi,Chickasaw,,,65.96692111959288,78.27608142493638,81.52035623409668,37.849872773536894,66.47398843930635,67.54276178556529,50.583138953682095,34.160305343511446,55.470737913486005,26.494910941475823,86.67302798982189,72.6145038167939,,,30.852417302798983,10.28007638446849
28019,Mississippi,Choctaw,,,35.08269720101781,51.39949109414759,50.095419847328245,50.92239185750637,41.811175337186896,59.49103045473508,43.01899366877707,42.71628498727736,28.403307888040715,9.955470737913483,64.44020356234097,48.56870229007634,,,22.964376590330797,20.369191597708465
28021,Mississippi,Claiborne,,,22.07379134860051,64.40839694656488,38.99491094147582,71.7557251908397,60.9184328837508,67.91823112223612,49.88337220926358,69.91094147582697,28.37150127226463,25.76335877862596,41.6030534351145,66.63486005089058,,,29.198473282442748,6.015276893698282
28023,Mississippi,Clarke,,,61.164122137404576,55.69338422391857,48.409669211195926,40.99872773536896,53.5645472061657,76.01168126825199,35.45484838387205,53.784987277353686,79.10305343511449,36.73664122137404,38.42239185750636,65.99872773536896,,,31.23409669211196,29.089751750477404
28025,Mississippi,Clay,,,69.27480916030534,61.895674300254456,79.54834605597965,53.56234096692112,62.13872832369943,69.71214017521903,52.74908363878708,25.572519083969464,59.98727735368957,33.778625954198475,38.74045801526719,75.09541984732824,,,26.272264631043257,8.370464672183322
28027,Mississippi,Coahoma,,,49.01399491094148,80.1208651399491,90.71246819338424,63.80407124681934,78.29158638407193,59.65790571547768,42.1192935688104,27.5763358778626,47.105597964376585,46.27862595419848,76.30407124681933,86.60941475826972,,,10.527989821882953,20.68746021642266
28029,Mississippi,Copiah,,,48.600508905852415,54.32569974554708,56.74300254452926,87.40458015267174,81.3102119460501,78.05590321234877,68.17727424191936,99.1412213740458,63.89949109414759,46.69211195928753,73.25063613231552,89.47201017811705,,,49.55470737913486,15.467854869509868
28031,Mississippi,Covington,,,44.30661577608143,66.41221374045801,44.974554707379134,70.80152671755725,69.71740526653821,87.77638715060493,40.71976007997334,43.829516539440206,48.21882951653944,42.239185750636125,58.49236641221373,62.53180661577608,,,55.56615776081425,31.508593252705285
28033,Mississippi,DeSoto,,,91.66666666666664,48.664122137404576,96.2150127226463,61.25954198473281,96.08220937700706,49.72882770129328,72.34255248250582,76.49491094147582,90.33078880407125,80.1208651399491,76.49491094147582,96.78753180661576,,,67.93893129770993,43.34818586887333
28035,Mississippi,Forrest,,,43.06615776081425,42.17557251908397,68.51145038167938,77.98982188295165,83.87925497752086,90.4046725073008,62.61246251249584,51.972010178117046,90.10814249363868,69.56106870229007,91.53944020356232,92.6526717557252,,,81.71119592875317,61.52132399745385
28037,Mississippi,Franklin,,,18.861323155216287,44.783715012722645,27.417302798982192,48.50508905852418,55.68400770712909,69.87901543596162,35.02165944685105,64.8854961832061,34.51017811704835,23.18702290076336,38.1997455470738,57.3791348600509,,,40.71246819338422,4.519414385741566
28039,Mississippi,George,,16.8,24.904580152671755,52.35368956743003,28.62595419847328,32.82442748091603,50.38535645472062,92.65748852732582,26.924358547150952,28.78498727735369,67.49363867684478,31.1704834605598,31.52035623409669,49.55470737913486,,,75.57251908396947,14.513049013367285
28041,Mississippi,Greene,,,32.44274809160305,36.19592875318066,31.01145038167939,34.25572519083969,48.23378291586384,87.4843554443054,25.42485838053982,47.16921119592875,50.795165394402034,38.26335877862596,30.69338422391857,56.87022900763359,,,73.28244274809158,17.50477402928071
28043,Mississippi,Grenada,,,58.365139949109405,49.04580152671756,82.50636132315523,69.49745547073792,68.68978805394991,60.74259491030456,55.881372875708095,70.0381679389313,73.50508905852418,58.65139949109415,62.40458015267176,74.80916030534351,,,49.1412213740458,8.020369191597707
28045,Mississippi,Hancock,,86.2,61.00508905852418,55.8206106870229,44.65648854961832,55.21628498727736,78.13102119460501,95.24405506883603,36.88770409863379,17.779898218829516,91.22137404580153,67.17557251908397,35.273536895674305,76.55852417302799,,,90.42620865139948,35.32781667727562
28047,Mississippi,Harrison,,91.60000000000002,87.72264631043257,58.81043256997456,70.45165394402035,87.46819338422392,94.82980089916504,98.5398414685023,74.97500833055646,33.20610687022901,97.07379134860052,90.45801526717555,85.40076335877862,95.96055979643766,,,94.529262086514,74.44302991725014
28049,Mississippi,Hinds,,,89.79007633587787,80.50254452926208,90.9351145038168,99.2684478371501,97.14193962748875,86.35794743429287,95.80139953348883,78.33969465648855,93.98854961832062,95.13358778625954,98.05979643765905,98.15521628498728,,,54.64376590330788,92.20241884150224
28051,Mississippi,Holmes,,,71.11959287531806,84.31933842239185,69.72010178117048,72.42366412213741,69.81374438021837,66.45807259073842,58.3138953682106,63.45419847328244,71.27862595419847,32.25190839694657,71.88295165394402,82.47455470737911,,,57.474554707379134,46.72183322724379
28053,Mississippi,Humphreys,,,53.68956743002544,91.06234096692113,63.89949109414759,55.05725190839694,53.982016698779695,66.49979140592407,49.98333888703765,13.16793893129771,39.85368956743002,22.487277353689567,34.38295165394402,50.795165394402034,,,12.404580152671755,26.702737110120943
28055,Mississippi,Issaquena,,,15.553435114503817,85.97328244274809,37.21374045801527,44.6882951653944,21.804752729608225,60.53400083437631,47.31756081306232,9.001272264631044,6.615776081424936,10.178117048346056,15.298982188295165,29.42111959287532,,,4.739185750636132,6.71546785486951
28057,Mississippi,Itawamba,,,89.53562340966921,40.74427480916031,76.97201017811705,30.248091603053435,70.7771355170199,54.776804338756776,38.487170943019,74.55470737913485,78.18066157760816,28.212468193384225,47.4236641221374,66.41221374045801,,,28.307888040712477,10.34373010821133
28059,Mississippi,Jackson,,84.79999999999998,77.95801526717555,51.84478371501272,57.85623409669212,61.036895674300254,91.84328837508028,97.7889027951606,66.91102965678107,34.4147582697201,95.13358778625954,86.83206106870227,51.84478371501272,89.98091603053437,,,94.147582697201,61.266709102482494
28061,Mississippi,Jasper,,,60.08269720101781,53.18066157760815,52.19465648854962,72.55089058524173,59.055876685934486,80.97622027534418,45.55148283905365,57.25190839694656,57.283715012722645,26.94020356234097,49.17302798982188,72.264631043257,,,46.50127226463104,36.63271801400382
28063,Mississippi,Jefferson,,,18.988549618320608,52.41730279898219,29.007633587786252,47.83715012722647,70.45600513808607,65.081351689612,38.58713762079307,62.40458015267176,18.352417302798983,16.921119592875318,28.97582697201017,36.036895674300254,,,27.5763358778626,5.124124761298536
